chrom	start	end	meth_score	score_calculation	num_methylated	num_unmethylated	total_samples	meth_proportion	unmeth_proportion	proportion_diff	sample_weight	score_interpretation	methylated_samples	unmethylated_samples	haplotype
chr1	73883994	73884162	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM276-1	SPM231	H1
chr1	189424561	189424569	1.871569948038403	"Total Samples: 6
Methylated: 5 (0.833)
Unmethylated: 1 (0.167)
Proportion Difference: 0.667
Sample Weight (log2(total + 1)): 2.807
Final Score: 0.667 × 2.807 = 1.872
Interpretation: Strongly Methylated"	5	1	6	0.8333333333333334	0.16666666666666666	0.6666666666666667	2.807354922057604	Strongly Methylated	SPM161,SPM180,SPM212,SPM248,SPM276-1	SPM187	H1
chr2	64900758	64900799	2.1428571428571423	"Total Samples: 7
Methylated: 6 (0.857)
Unmethylated: 1 (0.143)
Proportion Difference: 0.714
Sample Weight (log2(total + 1)): 3.000
Final Score: 0.714 × 3.000 = 2.143
Interpretation: Strongly Methylated"	6	1	7	0.8571428571428571	0.14285714285714285	0.7142857142857142	3.0	Strongly Methylated	SPM187,SPM198,SPM202,SPM212,SPM248,SPM276-1	SPM206	H1
chr2	153452956	153452999	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM161	SPM187	H1
chr2	165341954	165342015	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM180,SPM276-1	SPM198	H1
chr2	193600440	193600482	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM161,SPM232	SPM187	H1
chr2	233321059	233321298	-0.6666666666666666	"Total Samples: 3
Methylated: 1 (0.333)
Unmethylated: 2 (0.667)
Proportion Difference: -0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: -0.333 × 2.000 = -0.667
Interpretation: Moderately Unmethylated"	1	2	3	0.3333333333333333	0.6666666666666666	-0.3333333333333333	2.0	Moderately Unmethylated	SPM276-1	SPM206,SPM248	H1
chr3	5243397	5243449	1.584962500721156	"Total Samples: 8
Methylated: 6 (0.750)
Unmethylated: 2 (0.250)
Proportion Difference: 0.500
Sample Weight (log2(total + 1)): 3.170
Final Score: 0.500 × 3.170 = 1.585
Interpretation: Strongly Methylated"	6	2	8	0.75	0.25	0.5	3.169925001442312	Strongly Methylated	SPM161,SPM180,SPM202,SPM206,SPM232,SPM248	SPM198,SPM231	H1
chr3	82916339	82916438	2.1428571428571423	"Total Samples: 7
Methylated: 6 (0.857)
Unmethylated: 1 (0.143)
Proportion Difference: 0.714
Sample Weight (log2(total + 1)): 3.000
Final Score: 0.714 × 3.000 = 2.143
Interpretation: Strongly Methylated"	6	1	7	0.8571428571428571	0.14285714285714285	0.7142857142857142	3.0	Strongly Methylated	SPM180,SPM187,SPM206,SPM212,SPM232,SPM248	SPM202	H1
chr3	150635308	150635494	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM180	SPM212	H1
chr4	63424225	63424389	-1.5509775004326938	"Total Samples: 5
Methylated: 1 (0.200)
Unmethylated: 4 (0.800)
Proportion Difference: -0.600
Sample Weight (log2(total + 1)): 2.585
Final Score: -0.600 × 2.585 = -1.551
Interpretation: Strongly Unmethylated"	1	4	5	0.2	0.8	-0.6000000000000001	2.584962500721156	Strongly Unmethylated	SPM180	SPM198,SPM206,SPM212,SPM231	H1
chr4	142656364	142656510	1.160964047443681	"Total Samples: 4
Methylated: 3 (0.750)
Unmethylated: 1 (0.250)
Proportion Difference: 0.500
Sample Weight (log2(total + 1)): 2.322
Final Score: 0.500 × 2.322 = 1.161
Interpretation: Strongly Methylated"	3	1	4	0.75	0.25	0.5	2.321928094887362	Strongly Methylated	SPM180,SPM202,SPM276-1	SPM248	H1
chr5	36652162	36652307	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM198,SPM276-1	SPM161	H1
chr5	71596658	71596707	1.871569948038403	"Total Samples: 6
Methylated: 5 (0.833)
Unmethylated: 1 (0.167)
Proportion Difference: 0.667
Sample Weight (log2(total + 1)): 2.807
Final Score: 0.667 × 2.807 = 1.872
Interpretation: Strongly Methylated"	5	1	6	0.8333333333333334	0.16666666666666666	0.6666666666666667	2.807354922057604	Strongly Methylated	SPM180,SPM202,SPM212,SPM231,SPM248	SPM187	H1
chr6	161399085	161399134	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM161	SPM231	H1
chr7	26060149	26060251	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM180,SPM202	SPM161	H1
chr7	47851539	47851711	1.5509775004326938	"Total Samples: 5
Methylated: 4 (0.800)
Unmethylated: 1 (0.200)
Proportion Difference: 0.600
Sample Weight (log2(total + 1)): 2.585
Final Score: 0.600 × 2.585 = 1.551
Interpretation: Strongly Methylated"	4	1	5	0.8	0.2	0.6000000000000001	2.584962500721156	Strongly Methylated	SPM161,SPM180,SPM198,SPM231	SPM248	H1
chr7	53205441	53205494	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM206	SPM161	H1
chr7	83097296	83097338	1.160964047443681	"Total Samples: 4
Methylated: 3 (0.750)
Unmethylated: 1 (0.250)
Proportion Difference: 0.500
Sample Weight (log2(total + 1)): 2.322
Final Score: 0.500 × 2.322 = 1.161
Interpretation: Strongly Methylated"	3	1	4	0.75	0.25	0.5	2.321928094887362	Strongly Methylated	SPM161,SPM232,SPM248	SPM202	H1
chr7	106333587	106333611	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM198,SPM248	SPM187	H1
chr8	140693278	140693291	2.583721851579059	"Total Samples: 9
Methylated: 8 (0.889)
Unmethylated: 1 (0.111)
Proportion Difference: 0.778
Sample Weight (log2(total + 1)): 3.322
Final Score: 0.778 × 3.322 = 2.584
Interpretation: Strongly Methylated"	8	1	9	0.8888888888888888	0.1111111111111111	0.7777777777777777	3.321928094887362	Strongly Methylated	SPM161,SPM198,SPM206,SPM212,SPM231,SPM232,SPM248,SPM276-1	SPM180	H1
chr9	17870908	17870920	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM187	SPM212	H1
chr9	31066984	31067033	1.160964047443681	"Total Samples: 4
Methylated: 3 (0.750)
Unmethylated: 1 (0.250)
Proportion Difference: 0.500
Sample Weight (log2(total + 1)): 2.322
Final Score: 0.500 × 2.322 = 1.161
Interpretation: Strongly Methylated"	3	1	4	0.75	0.25	0.5	2.321928094887362	Strongly Methylated	SPM161,SPM180,SPM276-1	SPM202	H1
chr9	95589212	95589369	-0.6666666666666666	"Total Samples: 3
Methylated: 1 (0.333)
Unmethylated: 2 (0.667)
Proportion Difference: -0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: -0.333 × 2.000 = -0.667
Interpretation: Moderately Unmethylated"	1	2	3	0.3333333333333333	0.6666666666666666	-0.3333333333333333	2.0	Moderately Unmethylated	SPM161	SPM231,SPM248	H1
chr9	107664878	107665291	-2.1428571428571423	"Total Samples: 7
Methylated: 1 (0.143)
Unmethylated: 6 (0.857)
Proportion Difference: -0.714
Sample Weight (log2(total + 1)): 3.000
Final Score: -0.714 × 3.000 = -2.143
Interpretation: Strongly Unmethylated"	1	6	7	0.14285714285714285	0.8571428571428571	-0.7142857142857142	3.0	Strongly Unmethylated	SPM180	SPM202,SPM206,SPM212,SPM231,SPM232,SPM248	H1
chr9	122633857	122633913	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM232	SPM206	H1
chr9	129598501	129598509	0.6666666666666666	"Total Samples: 3
Methylated: 2 (0.667)
Unmethylated: 1 (0.333)
Proportion Difference: 0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: 0.333 × 2.000 = 0.667
Interpretation: Moderately Methylated"	2	1	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	2.0	Moderately Methylated	SPM161,SPM180	SPM248	H1
chr10	69459303	69459434	2.377443751081734	"Total Samples: 8
Methylated: 7 (0.875)
Unmethylated: 1 (0.125)
Proportion Difference: 0.750
Sample Weight (log2(total + 1)): 3.170
Final Score: 0.750 × 3.170 = 2.377
Interpretation: Strongly Methylated"	7	1	8	0.875	0.125	0.75	3.169925001442312	Strongly Methylated	SPM180,SPM202,SPM206,SPM231,SPM232,SPM248,SPM276-1	SPM198	H1
chr10	129187368	129187449	-0.6666666666666666	"Total Samples: 3
Methylated: 1 (0.333)
Unmethylated: 2 (0.667)
Proportion Difference: -0.333
Sample Weight (log2(total + 1)): 2.000
Final Score: -0.333 × 2.000 = -0.667
Interpretation: Moderately Unmethylated"	1	2	3	0.3333333333333333	0.6666666666666666	-0.3333333333333333	2.0	Moderately Unmethylated	SPM180	SPM231,SPM232	H1
chr11	59154824	59154917	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM231	SPM187	H1
chr12	34293596	34293627	0.0	"Total Samples: 2
Methylated: 1 (0.500)
Unmethylated: 1 (0.500)
Proportion Difference: 0.000
Sample Weight (log2(total + 1)): 1.585
Final Score: 0.000 × 1.585 = 0.000
Interpretation: Neutral"	1	1	2	0.5	0.5	0.0	1.584962500721156	Neutral	SPM276-1	SPM212	H1
chr12	126065430	126065693	-1.5509775004326938	"Total Samples: 5
Methylated: 1 (0.200)
Unmethylated: 4 (0.800)
Proportion Difference: -0.600
Sample Weight (log2(total + 1)): 2.585
Final Score: -0.600 × 2.585 = -1.551
Interpretation: Strongly Unmethylated"	1	4	5	0.2	0.8	-0.6000000000000001	2.584962500721156	Strongly Unmethylated	SPM202	SPM180,SPM231,SPM232,SPM248	H1
chr13	42635876	42635917	2.1428571428571423	"Total Samples: 7
Methylated: 6 (0.857)
Unmethylated: 1 (0.143)
Proportion Difference: 0.714
Sample Weight (log2(total + 1)): 3.000
Final Score: 0.714 × 3.000 = 2.143
Interpretation: Strongly Methylated"	6	1	7	0.8571428571428571	0.14285714285714285	0.7142857142857142	3.0	Strongly Methylated	SPM161,SPM202,SPM212,SPM231,SPM232,SPM276-1	SPM187	H1
