chrom	start	end	meth_score	score_calculation	num_methylated	num_unmethylated	total_samples	meth_proportion	unmeth_proportion	proportion_diff	sample_weight	score_interpretation	methylated_samples	unmethylated_samples	haplotype
chr1	1222244	1222593	2.2813397731861906	"Total Samples: 11
Methylated: 9 (0.818)
Unmethylated: 2 (0.182)
Proportion Difference: 0.636
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.636 × 3.585 = 2.281
Interpretation: Strongly Methylated"	9	2	11	0.8181818181818182	0.18181818181818182	0.6363636363636365	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM187,SPM198,SPM202,SPM212,SPM231,SPM232,SPM248	SPM206,SPM276-1	H1
chr1	1228068	1228100	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM187,SPM198,SPM202,SPM206,SPM212,SPM231,SPM232,SPM248	SPM276-1	H1
chr1	1649931	1649975	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM187,SPM198,SPM202,SPM206,SPM212,SPM231,SPM232,SPM248	SPM276-1	H1
chr1	1750630	1750671	2.2813397731861906	"Total Samples: 11
Methylated: 9 (0.818)
Unmethylated: 2 (0.182)
Proportion Difference: 0.636
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.636 × 3.585 = 2.281
Interpretation: Strongly Methylated"	9	2	11	0.8181818181818182	0.18181818181818182	0.6363636363636365	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM187,SPM198,SPM206,SPM212,SPM231,SPM232,SPM248	SPM202,SPM276-1	H1
chr1	1972713	1972716	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM198,SPM202,SPM206,SPM212,SPM231,SPM232,SPM248,SPM276-1	SPM187	H1
chr1	2084404	2084407	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM187,SPM198,SPM202,SPM206,SPM212,SPM231,SPM232,SPM248,SPM276-1	SPM180	H1
chr1	2093889	2093894	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM187,SPM202,SPM206,SPM212,SPM231,SPM232,SPM248,SPM276-1	SPM198	H1
chr1	2210426	2210465	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM187,SPM198,SPM202,SPM206,SPM212,SPM231,SPM232,SPM248,SPM276-1	SPM180	H1
chr1	2242960	2242998	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM187,SPM202,SPM206,SPM212,SPM231,SPM232,SPM248,SPM276-1	SPM198	H1
chr1	2260422	2260469	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM187,SPM198,SPM202,SPM206,SPM231,SPM232,SPM248,SPM276-1	SPM212	H1
chr1	2295903	2295932	2.933151136953673	"Total Samples: 11
Methylated: 10 (0.909)
Unmethylated: 1 (0.091)
Proportion Difference: 0.818
Sample Weight (log2(total + 1)): 3.585
Final Score: 0.818 × 3.585 = 2.933
Interpretation: Strongly Methylated"	10	1	11	0.9090909090909091	0.09090909090909091	0.8181818181818181	3.584962500721156	Strongly Methylated	SPM161,SPM180,SPM198,SPM202,SPM206,SPM212,SPM231,SPM232,SPM248,SPM276-1	SPM187	H1
